"id","title","artist","date","room"
4447,"Throwing knife",null,"late 19th century","G236"
4854,"Vessel in the shape of a Male Head",null,null,"G236"
4855,"Vessel",null,null,"G236"
5271,"Sickle sword",null,"late 19th century","G236"
5282,"Insignia",null,"first quarter of 20th century","G236"
5287,"Throwing knife",null,"early 20th century","G236"
5294,"Sickle knife",null,"early 20th century","G236"
5295,"Throwing knife",null,"first half of 20th century","G236"
5296,"Insignia",null,"first half of 20th century","G236"
5415,"Reduced Black Piece","Magdalene Odundo","1990","G236"
5641,"Insignia","Unknown","late 19th century","G236"
5893,"Milk vessel",null,"third quarter of the 20th century","G236"
6822,"Palm Wine Cup",null,null,"G236"
9479,"Vessel",null,"about 14th century","G236"
9760,"Jar with lid",null,"mid-20th century","G236"
12111,"Beer pot",null,"mid-20th century","G236"
27738,"Jug",null,"mid-20th century","G236"
30807,"Vessel","Unknown","mid-20th century","G236"
60777,"Wine bottle with stopper",null,"mid-20th century","G236"
60779,"Bottle Stopper",null,null,"G236"
60780,"Wine bottle with stopper",null,"mid-20th century","G236"
60782,"Bottle Stopper",null,null,"G236"
66708,"Vessel",null,"mid-20th century","G236"
95063,"Bottle","Unknown","third quarter of 20th century","G236"
106407,"Beer pot",null,"mid-20th century","G236"
113291,"Container",null,"third quarter of 20th century","G236"
113429,"Panel",null,"mid-20th century","G236"
113433,"Panel",null,"mid-20th century","G236"
113450,"Bottle",null,"third quarter of 20th century","G236"
114435,"Skirt",null,"early 20th century","G236"
116447,"Berber Rug",null,null,"G236"
116448,"Berber Rug",null,null,"G236"
118936,"Vessel",null,"third quarter of 20th century","G236"
119121,"Vessel","Magdalene Odundo","1985","G236"
119910,"Pot","Magdalene Odundo","1985","G236"
