"id","title","artist","date","room"
696,"Vessel in the Form of a Fish",null,"c. 100 BCE - 600 CE","G260"
701,"Bowl",null,"c. 800-1200 CE","G260"
703,"Vessel",null,"c. 200 BCE - 600 CE","G260"
713,"Hacha",null,"c. 600-900 CE","G260"
715,"Hacha",null,"c. 700","G260"
742,"Vessel",null,"c. 1100 - 1200 CE","G260"
754,"Figure",null,"c. 100-200","G260"
761,"Figure",null,"c. 600-750 CE","G260"
1547,"Hacha",null,"c. 600-900 CE","G260"
1964,"Pot (Olla)",null,"c. 300 - 799 BCE","G260"
2800,"Serving Vessel",null,"c. 600-900 CE","G260"
2866,"Mask",null,null,"G260"
3820,"Bottle",null,"c. 1100-1299","G260"
4242,"Gorget",null,"c. 1200-1350","G260"
4351,"Woman's chopping knife (Ulu)",null,"c. 1920-1930","G260"
5485,"Vase",null,"c. 800 - 900 CE","G260"
5783,"Belt Cup",null,"c. 1830","G260"
5992,"Dog",null,"c.100-300 CE","G260"
8673,"Gorget",null,"c. 1200-1350","G260"
9049,"Pendant",null,"c. 800 - 1100","G260"
17059,"Vessel in the Form of a Bird",null,"c. 100 BCE - 600 CE","G260"
18092,"Breast Plaque",null,"c. 800 - 1400 CE","G260"
25476,"Blouse (huipil)",null,"c. 1970","G260"
46506,"Bird stone",null,"c. 1500-500 BCE","G260"
63832,"Blouse (huipil)",null,"c. 1980","G260"
89843,"Vessel",null,"c. 1500","G260"
91395,"Pipe",null,"c. 1200","G260"
94953,"Maskette",null,"c. 550 - 900","G260"
100304,"Woman's ceremonial tzute",null,"c. 1980s","G260"
104485,"Chalchiuhtlicue",null,"c. 1200-1521","G260"
104886,"Shirt",null,"c. 1930-1940","G260"
110975,"Cradleboard",null,"c.1850-1880","G260"
113522,"Cloth (tzute)",null,"c. 1960","G260"
113604,"Baby's cap",null,"1975","G260"
114640,"Cloth (tzute)",null,"first half of 20th century","G260"
116082,"Glove Box","Theresa Secord","2013","G260"
119669,"Vessel",null,"c. 1300-1600","G260"
123324,"Snow Goggles",null,"c. 1950-1960","G260"
124154,"Dance blanket",null,"c. 1900","G260"
124435,"""Yup'ik Dancer V A"" pendant and necklace","Denise Wallace","2009","G260"
127274,"Creeping Up","Olassie Akulukjuk","c. 1980","G260"
128133,"Poncho",null,null,"G260"
128136,"Textile",null,null,"G260"
128137,"Poncho",null,null,"G260"
128138,"Textile",null,null,"G260"
128149,"Textile",null,null,"G260"
128434,"Mask",null,"c. 1935","G260"
128438,"Inukshuk",null,"1995","G260"
