"id","title","artist","date","room"
701,"Bowl",null,"c. 800-1200 CE","G260"
713,"Hacha",null,"c. 600-900 CE","G260"
715,"Hacha",null,"c. 700","G260"
754,"Figure",null,"c. 100-200","G260"
761,"Figure",null,"c. 600-750 CE","G260"
1547,"Hacha",null,"c. 600-900 CE","G260"
2800,"Serving Vessel",null,"c. 600-900 CE","G260"
2866,"Mask",null,null,"G260"
4351,"Woman's chopping knife (Ulu)",null,"c. 1920-1930","G260"
5485,"Vase",null,"c. 800 - 900 CE","G260"
5992,"Dog",null,"c.100-300 CE","G260"
94953,"Maskette",null,"c. 550 - 900","G260"
104485,"Chalchiuhtlicue",null,"c. 1200-1521","G260"
123324,"Snow Goggles",null,"c. 1950-1960","G260"
124435,"""Yup'ik Dancer V A"" pendant and necklace","Denise Wallace","2009","G260"
127274,"Creeping Up","Olassie Akulukjuk","c. 1980","G260"
128434,"Mask",null,"c. 1935","G260"
128438,"Inukshuk",null,"1995","G260"
