"id","title","artist","date","room"
1278,"Baboon and Young","Pablo Picasso","1951","G376"
1387,"The Family","Rufino Tamayo","1936","G376"
1422,"Still Life","Giorgio Morandi","1942","G376"
1513,"Composition","Arshile Gorky","1936-1939","G376"
1517,"Woman in an Armchair","Pablo Picasso","1927","G376"
1538,"Three Standing Forms in a Garden","Graham Sutherland","1951","G376"
1555,"Head of a Woman","Joan Miró","1938","G376"
1556,"Hardy Plants","Paul Klee","1934","G376"
1627,"The Living Room","Balthus (Balthasar Klossowski de Rola)","1941–1943","G376"
1879,"Woman with a Mirror","Paul Delvaux","1945","G376"
1941,"The Scholar's Playthings","Giorgio de Chirico","1917","G376"
2241,"Through Birds, Through Fire but Not Through Glass","Yves Tanguy","1943","G376"
3063,"Seated Bird Man","Leonard Baskin","1963","G376"
3291,"Portrait of Juan de Pareja, the Assistant to VelÃ¡zquez","Salvador Dali","1960","G376"
3782,"Janus","Max Ernst","modeled 1973 (cast 1975)","G376"
5033,"Aphrodisiac Telephone","Salvador Dali","1938","G376"
5035,"Return to Reason","Man Ray (Emmanuel Rudnitsky)","1921","G376"
5343,"Gift","Man Ray (Emmanuel Rudnitsky)","1921 (replicated in a 1970 edition of 11)","G376"
56564,"La Danse Muette","Eugene Berman","1944","G376"
61506,"Soleil rouge maritime","Max Ernst","1927","G376"
95943,"Soft Machine II","Mark Brusse","1963","G376"
98514,"Dear Diary--Never Since We Left Prague","Leonora Carrington","1955","G376"
102931,"Tempest in Yellow","Dorothea Tanning","1956","G376"
109172,"First Cyclops, #I","Theodoros Stamos","1947","G376"
120501,"Dovecote: Hinged Columbier (Untitled)","Joseph Cornell","1950","G376"
